2022/8/0_11:44:21 request_document_strokes docId=demo userIp=::1 executionTime=73
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:21 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=1
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:22 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:23 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:23 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:23 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:23 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:23 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:23 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:23 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:23 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:23 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:23 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:23 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:23 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:23 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:23 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:23 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:23 remote_control_fn docId=demo connectedUsersCount=1 executionTime=0
2022/8/0_11:44:26 disconnect_user_wsocket userIp=::1 usersLeftCount=1 docId=demo executionTime=0
2022/8/0_11:44:26 get_files_for_explorer userId=6328e66abd0caf774d136605 filesCount=11 executionTime=12
2022/8/0_11:44:26 get_files_for_explorer userId=6328e66abd0caf774d136605 filesCount=11 executionTime=13
2022/8/0_11:44:38 request_document_strokes docId=n2y12r userIp=::1 executionTime=24
2022/8/0_11:44:38 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:38 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 serving_pdf_file pdfName=1ed461aaba40be000c8fe67ad09259bdc65c1b93c7d0941bfee2ea3e5cdcef76 executionTime=1
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
2022/8/0_11:44:39 remote_control_fn docId=n2y12r connectedUsersCount=1 executionTime=0
